Item,Month,Quantity
Size 5 Diapers,2025-02,"1,418"
Size 5 Diapers,2025-03,"1,422"
Size 5 Diapers,2025-04,"1,307"
Size 5 Diapers,2025-05,"1,297"
Size 5 Diapers,2025-06,"1,409"
Size 5 Diapers,2025-07,"1,202"
Size 5 Diapers,2025-08,"1,339"
Size 5 Diapers,2025-09,"1,185"
Size 5 Diapers,2025-10,"1,114"
Size 5 Diapers,2025-11,"1,303"
Size 5 Diapers,2025-12,"1,382"
Size 5 Diapers,2026-01,"1,447"
Size 5 Diapers,2026-02,"1,704"
Size 5 Diapers,2026-03,"1,834"
Size 5 Diapers,2026-04,"1,923"
Size 5 Diapers,2026-05,"2,014"
Size 5 Diapers,2026-06,"1,759"
Size 5 Diapers,2026-07,"1,517"
Size 5 Diapers,2026-08,"1,387"
Size 6 Diapers,2024-09,460
Size 6 Diapers,2024-10,480
Size 6 Diapers,2024-11,511
Size 6 Diapers,2024-12,597
Size 6 Diapers,2025-01,662
Size 6 Diapers,2025-02,630
Size 6 Diapers,2025-03,587
Size 6 Diapers,2025-04,661
Size 6 Diapers,2025-05,620
Size 6 Diapers,2025-06,612
Size 6 Diapers,2025-07,630
Size 6 Diapers,2025-08,552
Size 6 Diapers,2025-09,512
Size 6 Diapers,2025-10,540
Size 6 Diapers,2025-11,584
Size 6 Diapers,2025-12,520
Size 6 Diapers,2026-01,722
Size 6 Diapers,2026-02,735
Size 6 Diapers,2026-03,768
Size 6 Diapers,2026-04,739
Size 6 Diapers,2026-05,624
Size 6 Diapers,2026-06,582
Size 6 Diapers,2026-07,489
Size 6 Diapers,2026-08,543
Newborn Diapers,2024-09,270
Newborn Diapers,2024-10,349
Newborn Diapers,2024-11,318
Newborn Diapers,2024-12,309
Newborn Diapers,2025-01,388
Newborn Diapers,2025-02,348
Newborn Diapers,2025-03,411
Newborn Diapers,2025-04,400
Newborn Diapers,2025-05,427
Newborn Diapers,2025-06,362
Newborn Diapers,2025-07,282
Newborn Diapers,2025-08,278
Newborn Diapers,2025-09,286
Newborn Diapers,2025-10,317
Newborn Diapers,2025-11,368
Newborn Diapers,2025-12,361
Newborn Diapers,2026-01,373
Newborn Diapers,2026-02,350
Newborn Diapers,2026-03,401
Newborn Diapers,2026-04,452
Newborn Diapers,2026-05,374
Newborn Diapers,2026-06,330
Newborn Diapers,2026-07,289
Newborn Diapers,2026-08,327
Baby Wipes (packs),2024-09,676
Baby Wipes (packs),2024-10,751
Baby Wipes (packs),2024-11,774
Baby Wipes (packs),2024-12,774
Baby Wipes (packs),2025-01,"1,057"
Baby Wipes (packs),2025-02,957
Baby Wipes (packs),2025-03,"1,095"
Baby Wipes (packs),2025-04,"1,167"
Baby Wipes (packs),2025-05,"1,086"
Baby Wipes (packs),2025-06,898
Baby Wipes (packs),2025-07,941
Baby Wipes (packs),2025-08,759
Baby Wipes (packs),2025-09,952
Baby Wipes (packs),2025-10,905
Baby Wipes (packs),2025-11,"1,096"
Baby Wipes (packs),2025-12,"1,030"
Baby Wipes (packs),2026-01,"1,082"
Baby Wipes (packs),2026-02,"1,281"
Baby Wipes (packs),2026-03,"1,315"
Baby Wipes (packs),2026-04,"1,371"
Baby Wipes (packs),2026-05,"1,321"
Baby Wipes (packs),2026-06,"1,317"
Baby Wipes (packs),2026-07,"1,233"
Baby Wipes (packs),2026-08,997
Pull-Ups 3T-4T,2024-09,652
Pull-Ups 3T-4T,2024-10,659
Pull-Ups 3T-4T,2024-11,606
Pull-Ups 3T-4T,2024-12,725
Pull-Ups 3T-4T,2025-01,749
Pull-Ups 3T-4T,2025-02,714
Pull-Ups 3T-4T,2025-03,734
Pull-Ups 3T-4T,2025-04,792
Pull-Ups 3T-4T,2025-05,756
Pull-Ups 3T-4T,2025-06,810
Pull-Ups 3T-4T,2025-07,813
Pull-Ups 3T-4T,2025-08,669
Pull-Ups 3T-4T,2025-09,758
Pull-Ups 3T-4T,2025-10,795
Pull-Ups 3T-4T,2025-11,846
Pull-Ups 3T-4T,2025-12,780
Pull-Ups 3T-4T,2026-01,808
Pull-Ups 3T-4T,2026-02,860
Pull-Ups 3T-4T,2026-03,875
Pull-Ups 3T-4T,2026-04,871
Pull-Ups 3T-4T,2026-05,952
Pull-Ups 3T-4T,2026-06,966
Pull-Ups 3T-4T,2026-07,888
Pull-Ups 3T-4T,2026-08,761
Period Pads,2024-09,"1,112"
Period Pads,2024-10,932
Period Pads,2024-11,"1,210"
Period Pads,2024-12,"1,430"
Period Pads,2025-01,"1,515"
Period Pads,2025-02,"1,609"
Period Pads,2025-03,"1,544"
Period Pads,2025-04,"1,407"
Period Pads,2025-05,"1,643"
Period Pads,2025-06,"1,362"
Period Pads,2025-07,"1,475"
Period Pads,2025-08,"1,482"
Period Pads,2025-09,"1,253"
Period Pads,2025-10,"1,311"
Period Pads,2025-11,"1,661"
Period Pads,2025-12,"1,724"
Period Pads,2026-01,"1,596"
Period Pads,2026-02,"1,686"
Period Pads,2026-03,"1,765"
Period Pads,2026-04,"2,215"
Period Pads,2026-05,"2,093"
Period Pads,2026-06,"1,626"
Period Pads,2026-07,"1,884"
Period Pads,2026-08,"1,884"
